trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
GemsFDTD,nopref,0.45228,,,,,,,,,,,1673797,,11.1586,0,0,0,0,0,0,0
GemsFDTD,bingo,0.56431,1.2477,0.4294,0.5867,0.3574,0.4668,0.4644,0.9291,0.00516,0.4644,0.9291,955047,1673797,6.367,2130885,0,2130885,1065146,989623,75390,5133
GemsFDTD,bingo_1MB,0.56294,1.2462,0.4294,0.5821,0.3666,0.4668,0.4644,0.9291,0.00515,0.4644,0.9291,954988,1673786,6.3666,2131044,0,2131044,1065215,989675,75407,5127
GemsFDTD,bingo_2ch,0.57534,1.253,0.4296,0.5871,0.3569,0.4669,0.4645,0.9292,0.00509,0.4645,0.9292,954709,1673777,6.3647,2131187,0,2131187,1065374,989966,75275,5068
GemsFDTD,bingo_4MB,0.56461,1.25,0.4295,0.5874,0.3514,0.4668,0.4644,0.9291,0.00511,0.4644,0.9291,954952,1673779,6.3663,2130958,0,2130958,1065222,989695,75394,5086
GemsFDTD,bingo__bingo_l2c_thresh_0p5,0.56453,1.2482,0.4903,0.5883,0.3808,0.5384,0.5349,0.8547,0.0065,0.5349,0.8547,853180,1673797,5.6879,2132610,0,2132610,1334637,1140704,193588,7467
GemsFDTD,bingo__bingo_l2c_thresh_0p65,0.56438,1.2479,0.4559,0.5875,0.3657,0.498,0.495,0.9092,0.00604,0.495,0.9092,910718,1673797,6.0715,2131849,0,2131849,1160735,1055337,105238,6414
GemsFDTD,bingo__bingo_l2c_thresh_0p95,0.56438,1.2479,0.3953,0.5866,0.3497,0.4264,0.4241,0.9351,0.0053,0.4241,0.9351,1012170,1673797,6.7478,2131826,0,2131826,966964,904210,62626,4819
GemsFDTD,bingo__bingo_pht_size_1024,0.55183,1.2201,0.4172,0.5414,0.329,0.5138,0.5111,0.9245,0.00537,0.5111,0.9245,975466,1673797,6.5031,1880638,0,1880638,1039630,961176,78317,5186
GemsFDTD,bingo__bingo_pht_size_2048,0.56446,1.248,0.4291,0.5865,0.3555,0.4677,0.4652,0.9287,0.00521,0.4652,0.9287,955569,1673797,6.3705,2117339,0,2117339,1060647,985053,75459,5160
GemsFDTD,bingo__bingo_pht_size_8192,0.56478,1.2487,0.4324,0.5882,0.3577,0.4668,0.4645,0.9289,0.0051,0.4645,0.9289,950126,1673797,6.3342,2141613,0,2141613,1070791,994708,75949,5102
GemsFDTD,ipcp,0.58895,1.3022,0.7486,0.7442,0.5477,0.0083,0.0077,0.0072,0.08263,0.0077,0.0072,420747,1673797,2.805,2675459,0,2675459,2846900,20472,2823217,1844
GemsFDTD,ipcp_1MB,0.58891,1.3037,0.7486,0.7434,0.5607,0.0083,0.0076,0.0072,0.08409,0.0076,0.0072,420740,1673786,2.8049,2675143,0,2675143,2846893,20412,2823271,1874
GemsFDTD,ipcp_2ch,0.60257,1.3123,0.7488,0.7443,0.5479,0.0083,0.0077,0.0073,0.07281,0.0077,0.0073,420393,1673777,2.8026,2677095,0,2677095,2847658,20655,2823791,1622
GemsFDTD,ipcp_4MB,0.58904,1.3041,0.7486,0.7448,0.5427,0.0083,0.0076,0.0072,0.08438,0.0076,0.0072,420839,1673779,2.8056,2675628,0,2675628,2846618,20412,2823000,1881
GemsFDTD,ipcp_L1only,0.59382,1.3129,0.7508,0.7418,0.2576,,,0.0076,0.0,,0.0076,417130,1673797,2.7809,0,0,0,2273168,17366,2252763,0
GemsFDTD,ipcp_L2only,0.45227,1.0,0.0,0.0001,0.0,0.25,0.1899,0.3527,0.24038,0.1899,0.3527,1673751,1673797,11.1583,416,0,416,224,79,132,25
GemsFDTD,spp_dev2,0.56141,1.2413,0.3148,0.6278,0.1494,0.1604,0.1587,0.9755,0.01054,0.1587,0.9755,1146861,1673797,7.6457,4667422,0,4667422,759257,740665,18204,7892
GemsFDTD,spp_dev2_1MB,0.55795,1.2352,0.3148,0.6184,0.1668,0.16,0.1583,0.9756,0.01047,0.1583,0.9756,1146834,1673786,7.6456,4678766,0,4678766,759129,740620,18100,7840
GemsFDTD,spp_dev2_2ch,0.56722,1.2353,0.3151,0.6287,0.1499,0.1608,0.1591,0.9751,0.01012,0.1591,0.9751,1146287,1673777,7.6419,4657901,0,4657901,760087,741192,18498,7578
GemsFDTD,spp_dev2_4MB,0.56206,1.2443,0.3153,0.6297,0.1467,0.1606,0.1589,0.9755,0.01067,0.1589,0.9755,1146069,1673779,7.6405,4667381,0,4667381,760164,741506,18283,7996
GemsFDTD,spp_dev2__pf20_fill100,0.57706,1.2759,0.0003,0.6999,0.2167,0.0,0.0,,,0.0,,1673245,1673797,11.155,2392712,0,2392712,0,0,0,0
GemsFDTD,spp_dev2__pf20_fill50,0.58945,1.3033,0.5823,0.7249,0.2454,0.3004,0.2959,0.8651,0.01495,0.2959,0.8651,699134,1673797,4.6609,4572696,0,4572696,1564181,1353242,210131,20534
GemsFDTD,spp_dev2__pf20_fill70,0.58749,1.299,0.5154,0.7218,0.2613,0.1912,0.189,0.9548,0.01165,0.189,0.9548,811133,1673797,5.4076,6264957,3,6264954,1239995,1183988,55410,13950
GemsFDTD,spp_dev2__pf20_fill90,0.58212,1.2871,0.3104,0.7152,0.2774,0.0941,0.0933,0.9768,0.00804,0.0933,0.9768,1154198,1673797,7.6947,7774001,956,7773045,742724,725503,16818,5879
GemsFDTD,spp_dev2__pf40_fill100,0.55625,1.2299,0.0003,0.6158,0.1412,0.0,0.0,,,0.0,,1673218,1673797,11.1548,1915841,0,1915841,0,0,0,0
GemsFDTD,spp_dev2__pf40_fill50,0.56627,1.252,0.5714,0.632,0.1474,0.5638,0.5534,0.8558,0.01847,0.5534,0.8558,717373,1673797,4.7825,2415154,0,2415154,1561771,1336564,224417,25150
GemsFDTD,spp_dev2__pf40_fill70,0.56519,1.2496,0.5084,0.6305,0.1476,0.3383,0.3335,0.9515,0.01414,0.3335,0.9515,822757,1673797,5.485,3535742,0,3535742,1239396,1179339,59457,16919
GemsFDTD,spp_dev2__pf40_fill90,0.56141,1.2413,0.3148,0.6278,0.1494,0.1604,0.1587,0.9755,0.01054,0.1587,0.9755,1146861,1673797,7.6457,4667422,0,4667422,759257,740665,18204,7892
GemsFDTD,spp_dev2__pf60_fill100,0.53907,1.1919,0.0004,0.5397,0.05,0.0,0.0,,,0.0,,1673211,1673797,11.1547,1495255,0,1495255,0,0,0,0
GemsFDTD,spp_dev2__pf60_fill70,0.54684,1.2091,0.5027,0.5466,0.0589,0.6405,0.6306,0.9432,0.01538,0.6306,0.9432,832430,1673797,5.5495,1855152,0,1855152,1240367,1169909,69863,18278
GemsFDTD,spp_dev2__pf60_fill90,0.54235,1.1991,0.3066,0.5401,0.0624,0.2731,0.2698,0.9706,0.01207,0.2698,0.9706,1160571,1673797,7.7371,2679377,0,2679377,744797,722871,21557,8833
GemsFDTD,spp_dev2__pf80_fill100,0.51972,1.1491,0.0003,0.4567,0.0231,0.0,0.0,,,0.0,,1673269,1673797,11.1551,1194934,0,1194934,0,0,0,0
GemsFDTD,spp_dev2__pf80_fill90,0.52586,1.1627,0.3032,0.4655,0.0241,0.5618,0.5542,0.9675,0.01338,0.5542,0.9675,1166257,1673797,7.775,1291888,0,1291888,740057,716024,23678,9712
GemsFDTD,spp_dev2__spp_dev2_fill_threshold_100,0.55625,1.2299,0.0003,0.6158,0.1412,0.0,0.0,,,0.0,,1673218,1673797,11.1548,1915841,0,1915841,0,0,0,0
GemsFDTD,spp_dev2__spp_dev2_fill_threshold_50,0.56627,1.252,0.5714,0.632,0.1474,0.5638,0.5534,0.8558,0.01847,0.5534,0.8558,717373,1673797,4.7825,2415154,0,2415154,1561771,1336564,224417,25150
GemsFDTD,spp_dev2__spp_dev2_fill_threshold_70,0.56519,1.2496,0.5084,0.6305,0.1476,0.3383,0.3335,0.9515,0.01414,0.3335,0.9515,822757,1673797,5.485,3535742,0,3535742,1239396,1179339,59457,16919
