trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
GemsFDTD,nopref,0.45228,,,,,,,,,,,1673797,,11.1586,0,0,0,0,0,0,0
GemsFDTD,bingo,0.56431,1.2477,0.4294,0.5867,0.3574,0.4668,0.4644,0.9291,0.00516,0.4644,0.9291,955047,1673797,6.367,2130885,0,2130885,1065146,989623,75390,5133
GemsFDTD,ipcp,0.58895,1.3022,0.7486,0.7442,0.5477,0.0083,0.0077,0.0072,0.08263,0.0077,0.0072,420747,1673797,2.805,2675459,0,2675459,2846900,20472,2823217,1844
GemsFDTD,spp_dev2,0.56141,1.2413,0.3148,0.6278,0.1494,0.1604,0.1587,0.9755,0.01054,0.1587,0.9755,1146861,1673797,7.6457,4667422,0,4667422,759257,740665,18204,7892
GemsFDTD,streamer,0.51386,1.1362,0.3796,0.394,0.838,0.1417,0.1416,0.3074,0.00104,0.1416,0.3074,1038403,1673797,6.9227,6421161,0,6421161,2957015,908940,2046288,949
GemsFDTD,stride,0.47394,1.0479,0.1569,0.1764,0.0869,0.2977,0.2977,0.6534,3e-05,0.2977,0.6534,1411108,1673797,9.4074,1249012,0,1249012,569132,371854,196956,13
astar,nopref,0.53061,,,,,,,,,,,259956,,1.733,0,0,0,0,0,0,0
astar,bingo,0.53187,1.0024,0.0545,0.1483,5.1159,0.0315,0.0311,0.4324,0.0113,0.0311,0.4324,245789,259956,1.6386,1628581,0,1628581,117150,50653,66018,579
astar,ipcp,0.5337,1.0058,0.23,0.2908,2.0911,0.0359,0.0358,0.0786,0.00265,0.0358,0.0786,200167,259956,1.3344,1219012,0,1219012,555148,43643,509358,116
astar,spp_dev2,0.53264,1.0038,0.0715,0.1872,0.2743,0.1038,0.1038,0.9114,0.00066,0.1038,0.9114,241379,259956,1.6092,409489,0,409489,46620,42490,4088,28
astar,streamer,0.53263,1.0038,0.1583,0.1612,0.3111,0.1596,0.1595,0.6218,0.00048,0.1595,0.6218,218801,259956,1.4587,501107,0,501107,128537,79929,48149,38
astar,stride,0.53212,1.0028,0.1443,0.1139,0.0168,0.3593,0.3593,0.9472,1e-05,0.3593,0.9472,222454,259956,1.483,207622,0,207622,78756,74596,4130,1
bwaves,nopref,0.60932,,,,,,,,,,,2753203,,18.3547,0,0,0,0,0,0,0
bwaves,bingo,0.97804,1.6051,0.8214,0.8592,0.0,0.9921,0.9784,0.9999,0.01386,0.9784,0.9999,491723,2753203,3.2782,3174220,0,3174220,3105928,3105547,252,43654
bwaves,ipcp,1.24035,2.0356,0.9571,0.9846,0.0019,0.0096,0.0093,0.0422,0.03902,0.0093,0.0422,118042,2753203,0.7869,16068557,2510,16066047,3522514,148670,3370046,6037
bwaves,spp_dev2,1.11842,1.8355,0.3805,0.9619,0.0002,0.104,0.0879,0.9999,0.15424,0.0879,0.9999,1705639,2753203,11.3709,23077043,5335434,17741609,1560007,1559897,108,284483
bwaves,streamer,1.14743,1.8831,0.9195,0.9487,-0.0,0.2205,0.2196,0.9993,0.004,0.2196,0.9993,221725,2753203,1.4782,16680406,1309728,15370678,3378322,3375942,2342,13562
bwaves,stride,0.8427,1.383,0.4846,0.8976,-0.0,0.457,0.3048,1.0,0.33311,0.3048,1.0,1419002,2753203,9.46,7052075,0,7052075,2149438,2149437,0,1073625
gcc,nopref,1.37508,,,,,,,,,,,7458864,,49.7258,0,0,0,0,0,0,0
gcc,bingo,1.39108,1.0116,0.0003,0.6562,1.1808,0.0603,0.0571,0.2729,0.05362,0.0571,0.2729,7456598,7458864,49.7107,47619,0,47619,9959,2718,7240,154
gcc,ipcp,1.39405,1.0138,0.0061,0.5877,1.3263,0.0662,0.0641,0.0533,0.03085,0.0641,0.0533,7413419,7458864,49.4228,204818,0,204818,246271,13132,233119,418
gcc,spp_dev2,1.37854,1.0025,0.0,0.1718,0.1896,0.0043,0.004,0.5166,0.07065,0.004,0.5166,7458716,7458864,49.7248,43083,0,43083,331,171,160,13
gcc,streamer,1.38686,1.0086,0.002,0.4476,0.7599,0.1191,0.1174,0.1716,0.01446,0.1174,0.1716,7443949,7458864,49.6263,167194,0,167194,114385,19626,94739,288
gcc,stride,1.37642,1.001,0.0003,0.0675,0.0305,0.2482,0.2474,0.5418,0.00321,0.2474,0.5418,7456882,7458864,49.7125,10028,0,10028,4579,2481,2098,8
lbm,nopref,0.48462,,,,,,,,,,,4298067,,28.6538,0,0,0,0,0,0,0
lbm,bingo,0.67859,1.4003,0.2284,0.9599,-0.0,0.9909,0.9619,1.0,0.02932,0.9619,1.0,3316233,4298067,22.1082,1373458,0,1373458,1321117,1321117,0,39906
lbm,ipcp,0.66761,1.3776,0.2296,0.9683,0.0127,0.0576,0.0385,0.0834,0.33244,0.0385,0.0834,3311196,4298067,22.0746,2910665,0,2910665,1343143,111959,1229479,55756
lbm,spp_dev2,0.66021,1.3623,0.0773,0.9121,0.0002,0.0765,0.0573,1.0,0.25203,0.0573,1.0,3965670,4298067,26.4378,9224195,0,9224195,528118,528096,22,177941
lbm,streamer,0.61976,1.2789,0.12,0.8876,-0.0,0.998,0.658,1.0,0.34071,0.658,1.0,3782135,4298067,25.2142,1265275,0,1265275,832512,832505,7,430231
lbm,stride,0.51488,1.0624,0.098,0.401,-0.0,0.471,0.4659,1.0,0.01075,0.4659,1.0,3876784,4298067,25.8452,1233932,0,1233932,574896,574896,0,6245
leslie3d,nopref,0.57944,,,,,,,,,,,1423457,,9.4897,0,0,0,0,0,0,0
leslie3d,bingo,1.00329,1.7315,0.6987,0.9024,0.049,0.808,0.8022,0.981,0.00724,0.8022,0.981,428945,1423457,2.8596,1566426,0,1566426,1280913,1256569,24238,9165
leslie3d,ipcp,1.10278,1.9032,0.8111,0.9704,0.1189,0.0192,0.0192,0.1189,0.00114,0.0192,0.1189,268934,1423457,1.7929,10970080,5891,10964189,1771233,210590,1558497,240
leslie3d,spp_dev2,1.01109,1.7449,0.457,0.9567,0.0197,0.1081,0.1037,0.971,0.04139,0.1037,0.971,772867,1423457,5.1524,7952638,6488,7946150,848390,823793,24590,35571
leslie3d,streamer,0.98734,1.704,0.6001,0.8792,0.1174,0.1453,0.1428,0.8254,0.0171,0.1428,0.8254,569255,1423457,3.795,7553499,3582,7549917,1306435,1078308,228081,18762
leslie3d,stride,0.87022,1.5018,0.4856,0.8442,0.016,0.3444,0.2703,0.9651,0.21524,0.2703,0.9651,732209,1423457,4.8814,3495812,0,3495812,978997,944809,34178,259131
libquantum,nopref,0.51376,,,,,,,,,,,3902726,,26.0182,0,0,0,0,0,0,0
libquantum,bingo,0.93577,1.8214,0.8348,0.9532,0.0001,0.9879,0.8966,0.9999,0.09243,0.8966,0.9999,644686,3902726,4.2979,5057983,0,5057983,4535287,4535021,265,461879
libquantum,ipcp,0.90893,1.7692,0.9922,0.9971,0.0004,0.0026,0.0005,0.001,0.78681,0.0005,0.001,30488,3902726,0.2033,9595218,0,9595218,5200020,5233,5190755,19313
libquantum,spp_dev2,0.80683,1.5704,0.2453,0.9047,0.0391,0.0845,0.0484,1.0,0.42662,0.0484,1.0,2945357,3902726,19.6357,37674374,0,37674374,1825102,1825090,11,1357968
libquantum,streamer,0.81705,1.5903,0.6496,0.9463,0.0,0.2057,0.1576,1.0,0.23359,0.1576,1.0,1367337,3902726,9.1156,24102115,0,24102115,3799495,3799484,10,1158018
libquantum,stride,0.55019,1.0709,0.1793,0.6884,0.0,0.3778,0.1735,1.0,0.54075,0.1735,1.0,3203145,3902726,21.3543,10372022,0,10372022,1799823,1799812,10,2119235
mcf,nopref,0.08243,,,,,,,,,,,14277073,,95.1805,0,0,0,0,0,0,0
mcf,bingo,0.06837,0.8294,0.0244,-0.0219,6.9255,0.0049,0.0049,0.2558,0.01223,0.0049,0.2558,13928306,14277073,92.8554,174000125,0,174000125,3307761,846143,2461175,10475
