trace,prefetcher,IPC,speedup,coverage,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,late_frac
astar,nopref,0.53061,,,,,259956,,1.733,
astar,bingo,0.53187,1.0024,0.0545,0.0311,0.4324,245789,259956,1.6386,0.0113
astar,ipcp,0.5337,1.0058,0.23,0.0358,0.0786,200167,259956,1.3344,0.00265
astar,spp_dev2,0.53264,1.0038,0.0715,0.1038,0.9114,241379,259956,1.6092,0.00066
astar,streamer,0.53263,1.0038,0.1583,0.1595,0.6218,218801,259956,1.4587,0.00048
astar,stride,0.53212,1.0028,0.1443,0.3593,0.9472,222454,259956,1.483,1e-05
bwaves,nopref,0.60932,,,,,2753203,,18.3547,
bwaves,bingo,0.97804,1.6051,0.8214,0.9784,0.9999,491723,2753203,3.2782,0.01386
bwaves,ipcp,1.24035,2.0356,0.9571,0.0093,0.0422,118042,2753203,0.7869,0.03902
bwaves,spp_dev2,1.11842,1.8355,0.3805,0.0879,0.9999,1705639,2753203,11.3709,0.15424
bwaves,streamer,1.14743,1.8831,0.9195,0.2196,0.9993,221725,2753203,1.4782,0.004
bwaves,stride,0.8427,1.383,0.4846,0.3048,1.0,1419002,2753203,9.46,0.33311
gcc,nopref,1.37508,,,,,7458864,,49.7258,
gcc,bingo,1.39108,1.0116,0.0003,0.0571,0.2729,7456598,7458864,49.7107,0.05362
gcc,ipcp,1.39405,1.0138,0.0061,0.0641,0.0533,7413419,7458864,49.4228,0.03085
gcc,spp_dev2,1.37854,1.0025,0.0,0.004,0.5166,7458716,7458864,49.7248,0.07065
gcc,streamer,1.38686,1.0086,0.002,0.1174,0.1716,7443949,7458864,49.6263,0.01446
gcc,stride,1.37642,1.001,0.0003,0.2474,0.5418,7456882,7458864,49.7125,0.00321
GemsFDTD,nopref,0.45228,,,,,1673797,,11.1586,
GemsFDTD,bingo,0.56431,1.2477,0.4294,0.4644,0.9291,955047,1673797,6.367,0.00516
GemsFDTD,ipcp,0.58895,1.3022,0.7486,0.0077,0.0072,420747,1673797,2.805,0.08263
GemsFDTD,spp_dev2,0.56141,1.2413,0.3148,0.1587,0.9755,1146861,1673797,7.6457,0.01054
GemsFDTD,streamer,0.51386,1.1362,0.3796,0.1416,0.3074,1038403,1673797,6.9227,0.00104
GemsFDTD,stride,0.47394,1.0479,0.1569,0.2977,0.6534,1411108,1673797,9.4074,3e-05
lbm,nopref,0.48462,,,,,4298067,,28.6538,
lbm,bingo,0.67859,1.4003,0.2284,0.9619,1.0,3316233,4298067,22.1082,0.02932
lbm,ipcp,0.66761,1.3776,0.2296,0.0385,0.0834,3311196,4298067,22.0746,0.33244
lbm,spp_dev2,0.66021,1.3623,0.0773,0.0573,1.0,3965670,4298067,26.4378,0.25203
lbm,streamer,0.61976,1.2789,0.12,0.658,1.0,3782135,4298067,25.2142,0.34071
lbm,stride,0.51488,1.0624,0.098,0.4659,1.0,3876784,4298067,25.8452,0.01075
leslie3d,nopref,0.57944,,,,,1423457,,9.4897,
leslie3d,bingo,1.00329,1.7315,0.6987,0.8022,0.981,428945,1423457,2.8596,0.00724
leslie3d,ipcp,1.10278,1.9032,0.8111,0.0192,0.1189,268934,1423457,1.7929,0.00114
leslie3d,spp_dev2,1.01109,1.7449,0.457,0.1037,0.971,772867,1423457,5.1524,0.04139
leslie3d,streamer,0.98734,1.704,0.6001,0.1428,0.8254,569255,1423457,3.795,0.0171
leslie3d,stride,0.87022,1.5018,0.4856,0.2703,0.9651,732209,1423457,4.8814,0.21524
libquantum,nopref,0.51376,,,,,3902726,,26.0182,
libquantum,bingo,0.93577,1.8214,0.8348,0.8966,0.9999,644686,3902726,4.2979,0.09243
libquantum,ipcp,0.90893,1.7692,0.9922,0.0005,0.001,30488,3902726,0.2033,0.78681
